[11][0]:0.000000  [11][1]:0.000000  [11][2]:0.000000  [11][3]:0.000000  [11][4]:0.000000  [11][5]:0.000000  [11][6]:0.000000  [11][7]:0.000000  [11][8]:0.000000  [11][9]:0.000000  [11][10]:0.000000  [11][11]:1.000000  [11][12]:0.000000  [11][13]:0.000000  [11][14]:0.000000  [11][15]:0.000000  [11][16]:-0.011542  [11][17]:-0.012514  [11][18]:-0.016575  [11][19]:-0.026076  [11][20]:-0.021582  [11][21]:-0.023507  [11][22]:-0.013322  [11][23]:-0.016799  [11][24]:-0.007010  [11][25]:-0.006846  [11][26]:-0.007918  [11][27]:-0.011581  [11][28]:-0.019309  [11][29]:-0.051200  [11][30]:-0.038796  [11][31]:-0.010629  [11][32]:-0.008053  [11][33]:-0.009785  [11][34]:-0.008622  [11][35]:-0.006559  [11][36]:-0.010217  [11][37]:-0.010987  [11][38]:-0.005472  [11][39]:-0.007105  [11][40]:-0.007050  [11][41]:-0.006417  [11][42]:-0.044510  [11][43]:-0.007590  [11][44]:-0.013352  [11][45]:-0.010674  [11][46]:-0.028587  [11][47]:-0.125824  [11][48]:0.000000  
[12][0]:0.000000  [12][1]:0.000000  [12][2]:0.000000  [12][3]:0.000000  [12][4]:0.000000  [12][5]:0.000000  [12][6]:0.000000  [12][7]:0.000000  [12][8]:0.000000  [12][9]:0.000000  [12][10]:0.000000  [12][11]:0.000000  [12][12]:1.000000  [12][13]:0.000000  [12][14]:0.000000  [12][15]:0.000000  [12][16]:-0.013180  [12][17]:-0.016874  [12][18]:-0.023169  [12][19]:-0.021826  [12][20]:-0.025620  [12][21]:-0.016539  [12][22]:-0.011495  [12][23]:-0.012278  [12][24]:-0.007115  [12][25]:-0.006042  [12][26]:-0.008033  [12][27]:-0.010877  [12][28]:-0.015155  [12][29]:-0.018513  [12][30]:-0.011023  [12][31]:-0.005483  [12][32]:-0.010848  [12][33]:-0.008441  [12][34]:-0.009683  [12][35]:-0.005102  [12][36]:-0.006573  [12][37]:-0.007895  [12][38]:-0.006476  [12][39]:-0.010128  [12][40]:-0.012349  [12][41]:-0.007587  [12][42]:-0.010474  [12][43]:-0.006122  [12][44]:-0.006728  [12][45]:-0.043795  [12][46]:-0.126562  [12][47]:-0.039821  [12][48]:0.000000  
[13][0]:0.000000  [13][1]:0.000000  [13][2]:0.000000  [13][3]:0.000000  [13][4]:0.000000  [13][5]:0.000000  [13][6]:0.000000  [13][7]:0.000000  [13][8]:0.000000  [13][9]:0.000000  [13][10]:0.000000  [13][11]:0.000000  [13][12]:0.000000  [13][13]:1.000000  [13][14]:0.000000  [13][15]:0.000000  [13][16]:-0.010658  [13][17]:-0.015142  [13][18]:-0.022944  [13][19]:-0.017285  [13][20]:-0.024206  [13][21]:-0.012060  [13][22]:-0.008658  [13][23]:-0.009085  [13][24]:-0.005359  [13][25]:-0.004084  [13][26]:-0.006331  [13][27]:-0.008815  [13][28]:-0.011402  [13][29]:-0.010956  [13][30]:-0.005943  [13][31]:-0.003604  [13][32]:-0.009711  [13][33]:-0.006471  [13][34]:-0.008360  [13][35]:-0.003254  [13][36]:-0.004361  [13][37]:-0.005647  [13][38]:-0.004403  [13][39]:-0.008385  [13][40]:-0.007587  [13][41]:-0.003516  [13][42]:-0.002626  [13][43]:-0.002128  [13][44]:-0.002046  [13][45]:-0.065418  [13][46]:-0.174113  [13][47]:-0.005426  [13][48]:0.000000  
[14][0]:0.000000  [14][1]:0.000000  [14][2]:0.000000  [14][3]:0.000000  [14][4]:0.000000  [14][5]:0.000000  [14][6]:0.000000  [14][7]:0.000000  [14][8]:0.000000  [14][9]:0.000000  [14][10]:0.000000  [14][11]:0.000000  [14][12]:0.000000  [14][13]:0.000000  [14][14]:1.000000  [14][15]:0.000000  [14][16]:-0.019111  [14][17]:-0.021942  [14][18]:-0.024224  [14][19]:-0.019637  [14][20]:-0.022811  [14][21]:-0.017322  [14][22]:-0.016731  [14][23]:-0.015991  [14][24]:-0.011263  [14][25]:-0.011099  [14][26]:-0.010561  [14][27]:-0.011664  [14][28]:-0.013673  [14][29]:-0.015468  [14][30]:-0.012929  [14][31]:-0.010764  [14][32]:-0.016143  [14][33]:-0.010596  [14][34]:-0.012264  [14][35]:-0.010298  [14][36]:-0.010355  [14][37]:-0.010762  [14][38]:-0.015478  [14][39]:-0.020575  [14][40]:-0.018209  [14][41]:-0.012309  [14][42]:-0.013854  [14][43]:-0.010354  [14][44]:-0.011235  [14][45]:-0.031125  [14][46]:-0.032174  [14][47]:-0.021202  [14][48]:0.000000  
[15][0]:0.000000  [15][1]:0.000000  [15][2]:0.000000  [15][3]:0.000000  [15][4]:0.000000  [15][5]:0.000000  [15][6]:0.000000  [15][7]:0.000000  [15][8]:0.000000  [15][9]:0.000000  [15][10]:0.000000  [15][11]:0.000000  [15][12]:0.000000  [15][13]:0.000000  [15][14]:0.000000  [15][15]:1.000000  [15][16]:-0.011075  [15][17]:-0.012265  [15][18]:-0.017455  [15][19]:-0.025426  [15][20]:-0.023177  [15][21]:-0.020957  [15][22]:-0.011521  [15][23]:-0.014121  [15][24]:-0.005980  [15][25]:-0.005553  [15][26]:-0.007005  [15][27]:-0.010799  [15][28]:-0.019277  [15][29]:-0.038470  [15][30]:-0.020947  [15][31]:-0.006499  [15][32]:-0.007931  [15][33]:-0.008768  [15][34]:-0.008149  [15][35]:-0.004876  [15][36]:-0.007604  [15][37]:-0.009067  [15][38]:-0.004645  [15][39]:-0.006668  [15][40]:-0.004344  [15][41]:-0.004109  [15][42]:-0.017719  [15][43]:-0.004294  [15][44]:-0.005961  [15][45]:-0.009230  [15][46]:-0.055081  [15][47]:-0.163255  [15][48]:0.000000  
[16][0]:-0.001949  [16][1]:-0.003417  [16][2]:-0.002497  [16][3]:-0.010991  [16][4]:-0.007415  [16][5]:-0.008454  [16][6]:-0.002797  [16][7]:-0.022840  [16][8]:-0.010575  [16][9]:-0.025138  [16][10]:-0.008133  [16][11]:-0.002915  [16][12]:-0.006525  [16][13]:-0.005388  [16][14]:-0.009754  [16][15]:-0.002637  [16][16]:1.000000  [16][17]:0.000000  [16][18]:0.000000  [16][19]:0.000000  [16][20]:0.000000  [16][21]:0.000000  [16][22]:0.000000  [16][23]:0.000000  [16][24]:-0.017275  [16][25]:-0.014657  [16][26]:-0.011093  [16][27]:-0.006022  [16][28]:-0.006533  [16][29]:-0.007299  [16][30]:-0.008221  [16][31]:-0.010993  [16][32]:-0.039219  [16][33]:-0.032712  [16][34]:-0.226710  [16][35]:-0.005436  [16][36]:-0.006759  [16][37]:-0.010376  [16][38]:-0.007212  [16][39]:-0.011548  [16][40]:-0.010271  [16][41]:-0.006839  [16][42]:-0.008227  [16][43]:-0.005700  [16][44]:-0.007072  [16][45]:-0.010855  [16][46]:-0.009721  [16][47]:-0.008521  [16][48]:0.000000  
[17][0]:-0.001991  [17][1]:-0.002990  [17][2]:-0.002415  [17][3]:-0.009706  [17][4]:-0.005606  [17][5]:-0.006270  [17][6]:-0.002578  [17][7]:-0.025158  [17][8]:-0.008163  [17][9]:-0.022828  [17][10]:-0.010645  [17][11]:-0.003128  [17][12]:-0.008482  [17][13]:-0.007529  [17][14]:-0.010937  [17][15]:-0.003075  [17][16]:0.000000  [17][17]:1.000000  [17][18]:0.000000  [17][19]:0.000000  [17][20]:0.000000  [17][21]:0.000000  [17][22]:0.000000  [17][23]:0.000000  [17][24]:-0.010033  [17][25]:-0.010766  [17][26]:-0.007102  [17][27]:-0.005989  [17][28]:-0.007154  [17][29]:-0.008027  [17][30]:-0.008517  [17][31]:-0.009761  [17][32]:-0.051514  [17][33]:-0.008949  [17][34]:-0.041267  [17][35]:-0.006797  [17][36]:-0.007006  [17][37]:-0.007385  [17][38]:-0.010299  [17][39]:-0.018174  [17][40]:-0.017701  [17][41]:-0.010552  [17][42]:-0.007335  [17][43]:-0.006822  [17][44]:-0.006674  [17][45]:-0.014576  [17][46]:-0.010574  [17][47]:-0.008250  [17][48]:0.000000  
[18][0]:-0.002675  [18][1]:-0.003359  [18][2]:-0.003209  [18][3]:-0.008040  [18][4]:-0.005189  [18][5]:-0.004910  [18][6]:-0.002914  [18][7]:-0.021148  [18][8]:-0.006169  [18][9]:-0.016246  [18][10]:-0.012748  [18][11]:-0.004187  [18][12]:-0.011536  [18][13]:-0.011353  [18][14]:-0.012054  [18][15]:-0.004422  [18][16]:0.000000  [18][17]:0.000000  [18][18]:1.000000  [18][19]:0.000000  [18][20]:0.000000  [18][21]:0.000000  [18][22]:0.000000  [18][23]:0.000000  [18][24]:-0.006970  [18][25]:-0.008452  [18][26]:-0.005896  [18][27]:-0.007041  [18][28]:-0.010528  [18][29]:-0.010817  [18][30]:-0.009761  [18][31]:-0.008471  [18][32]:-0.017474  [18][33]:-0.006782  [18][34]:-0.010767  [18][35]:-0.007914  [18][36]:-0.007416  [18][37]:-0.006387  [18][38]:-0.010812  [18][39]:-0.014624  [18][40]:-0.048398  [18][41]:-0.040242  [18][42]:-0.006510  [18][43]:-0.010632  [18][44]:-0.007648  [18][45]:-0.017434  [18][46]:-0.010427  [18][47]:-0.007406  [18][48]:0.000000  
[19][0]:-0.005850  [19][1]:-0.005523  [19][2]:-0.006189  [19][3]:-0.008711  [19][4]:-0.008108  [19][5]:-0.006433  [19][6]:-0.005607  [19][7]:-0.012600  [19][8]:-0.006708  [19][9]:-0.011823  [19][10]:-0.008447  [19][11]:-0.006514  [19][12]:-0.010762  [19][13]:-0.008610  [19][14]:-0.009951  [19][15]:-0.006376  [19][16]:0.000000  [19][17]:0.000000  [19][18]:0.000000  [19][19]:1.000000  [19][20]:0.000000  [19][21]:0.000000  [19][22]:0.000000  [19][23]:0.000000  [19][24]:-0.007385  [19][25]:-0.006872  [19][26]:-0.010536  [19][27]:-0.035789  [19][28]:-0.061594  [19][29]:-0.017563  [19][30]:-0.010075  [19][31]:-0.007435  [19][32]:-0.007132  [19][33]:-0.007147  [19][34]:-0.006059  [19][35]:-0.009512  [19][36]:-0.010920  [19][37]:-0.010391  [19][38]:-0.008580  [19][39]:-0.008074  [19][40]:-0.010754  [19][41]:-0.029150  [19][42]:-0.010505  [19][43]:-0.143637  [19][44]:-0.036735  [19][45]:-0.007003  [19][46]:-0.005787  [19][47]:-0.007184  [19][48]:0.000000  
[20][0]:-0.003768  [20][1]:-0.004039  [20][2]:-0.004303  [20][3]:-0.008134  [20][4]:-0.005706  [20][5]:-0.005008  [20][6]:-0.003650  [20][7]:-0.016639  [20][8]:-0.005869  [20][9]:-0.013053  [20][10]:-0.011618  [20][11]:-0.005393  [20][12]:-0.012800  [20][13]:-0.012172  [20][14]:-0.011560  [20][15]:-0.005807  [20][16]:0.000000  [20][17]:0.000000  [20][18]:0.000000  [20][19]:0.000000  [20][20]:1.000000  [20][21]:0.000000  [20][22]:0.000000  [20][23]:0.000000  [20][24]:-0.006795  [20][25]:-0.007207  [20][26]:-0.006319  [20][27]:-0.011000  [20][28]:-0.017975  [20][29]:-0.014577  [20][30]:-0.010831  [20][31]:-0.008211  [20][32]:-0.010173  [20][33]:-0.005657  [20][34]:-0.007064  [20][35]:-0.008404  [20][36]:-0.008150  [20][37]:-0.007243  [20][38]:-0.009688  [20][39]:-0.010963  [20][40]:-0.041406  [20][41]:-0.146481  [20][42]:-0.006443  [20][43]:-0.025876  [20][44]:-0.010872  [20][45]:-0.011341  [20][46]:-0.006700  [20][47]:-0.005738  [20][48]:0.000000  
