[11][0]:0.000000  [11][1]:0.000000  [11][2]:0.000000  [11][3]:0.000000  [11][4]:0.000000  [11][5]:0.000000  [11][6]:0.000000  [11][7]:0.000000  [11][8]:0.000000  [11][9]:0.000000  [11][10]:0.000000  [11][11]:0.000000  [11][12]:0.000000  [11][13]:0.000000  [11][14]:0.000000  [11][15]:0.000000  [11][16]:0.016488  [11][17]:0.017877  [11][18]:0.023678  [11][19]:0.037252  [11][20]:0.030831  [11][21]:0.033582  [11][22]:0.019031  [11][23]:0.023998  [11][24]:0.010015  [11][25]:0.009780  [11][26]:0.011312  [11][27]:0.016545  [11][28]:0.027585  [11][29]:0.073143  [11][30]:0.055423  [11][31]:0.015185  [11][32]:0.011504  [11][33]:0.013978  [11][34]:0.012317  [11][35]:0.009370  [11][36]:0.014596  [11][37]:0.015696  [11][38]:0.007817  [11][39]:0.010150  [11][40]:0.010071  [11][41]:0.009167  [11][42]:0.063585  [11][43]:0.010843  [11][44]:0.019074  [11][45]:0.015248  [11][46]:0.040839  [11][47]:0.179749  [11][48]:0.000000  
[12][0]:0.000000  [12][1]:0.000000  [12][2]:0.000000  [12][3]:0.000000  [12][4]:0.000000  [12][5]:0.000000  [12][6]:0.000000  [12][7]:0.000000  [12][8]:0.000000  [12][9]:0.000000  [12][10]:0.000000  [12][11]:0.000000  [12][12]:0.000000  [12][13]:0.000000  [12][14]:0.000000  [12][15]:0.000000  [12][16]:0.018828  [12][17]:0.024106  [12][18]:0.033099  [12][19]:0.031180  [12][20]:0.036600  [12][21]:0.023627  [12][22]:0.016422  [12][23]:0.017539  [12][24]:0.010164  [12][25]:0.008632  [12][26]:0.011476  [12][27]:0.015539  [12][28]:0.021649  [12][29]:0.026447  [12][30]:0.015747  [12][31]:0.007832  [12][32]:0.015498  [12][33]:0.012058  [12][34]:0.013833  [12][35]:0.007289  [12][36]:0.009391  [12][37]:0.011279  [12][38]:0.009252  [12][39]:0.014468  [12][40]:0.017641  [12][41]:0.010839  [12][42]:0.014962  [12][43]:0.008746  [12][44]:0.009611  [12][45]:0.062564  [12][46]:0.180803  [12][47]:0.056888  [12][48]:0.000000  
[13][0]:0.000000  [13][1]:0.000000  [13][2]:0.000000  [13][3]:0.000000  [13][4]:0.000000  [13][5]:0.000000  [13][6]:0.000000  [13][7]:0.000000  [13][8]:0.000000  [13][9]:0.000000  [13][10]:0.000000  [13][11]:0.000000  [13][12]:0.000000  [13][13]:0.000000  [13][14]:0.000000  [13][15]:0.000000  [13][16]:0.015225  [13][17]:0.021631  [13][18]:0.032778  [13][19]:0.024693  [13][20]:0.034579  [13][21]:0.017228  [13][22]:0.012368  [13][23]:0.012979  [13][24]:0.007656  [13][25]:0.005835  [13][26]:0.009044  [13][27]:0.012593  [13][28]:0.016289  [13][29]:0.015651  [13][30]:0.008491  [13][31]:0.005148  [13][32]:0.013873  [13][33]:0.009245  [13][34]:0.011943  [13][35]:0.004648  [13][36]:0.006230  [13][37]:0.008068  [13][38]:0.006290  [13][39]:0.011979  [13][40]:0.010838  [13][41]:0.005022  [13][42]:0.003752  [13][43]:0.003040  [13][44]:0.002923  [13][45]:0.093455  [13][46]:0.248733  [13][47]:0.007751  [13][48]:0.000000  
[14][0]:0.000000  [14][1]:0.000000  [14][2]:0.000000  [14][3]:0.000000  [14][4]:0.000000  [14][5]:0.000000  [14][6]:0.000000  [14][7]:0.000000  [14][8]:0.000000  [14][9]:0.000000  [14][10]:0.000000  [14][11]:0.000000  [14][12]:0.000000  [14][13]:0.000000  [14][14]:0.000000  [14][15]:0.000000  [14][16]:0.027302  [14][17]:0.031346  [14][18]:0.034606  [14][19]:0.028052  [14][20]:0.032588  [14][21]:0.024746  [14][22]:0.023901  [14][23]:0.022844  [14][24]:0.016089  [14][25]:0.015856  [14][26]:0.015087  [14][27]:0.016663  [14][28]:0.019533  [14][29]:0.022098  [14][30]:0.018470  [14][31]:0.015378  [14][32]:0.023062  [14][33]:0.015138  [14][34]:0.017520  [14][35]:0.014711  [14][36]:0.014793  [14][37]:0.015374  [14][38]:0.022112  [14][39]:0.029393  [14][40]:0.026012  [14][41]:0.017584  [14][42]:0.019791  [14][43]:0.014791  [14][44]:0.016049  [14][45]:0.044464  [14][46]:0.045963  [14][47]:0.030289  [14][48]:0.000000  
[15][0]:0.000000  [15][1]:0.000000  [15][2]:0.000000  [15][3]:0.000000  [15][4]:0.000000  [15][5]:0.000000  [15][6]:0.000000  [15][7]:0.000000  [15][8]:0.000000  [15][9]:0.000000  [15][10]:0.000000  [15][11]:0.000000  [15][12]:0.000000  [15][13]:0.000000  [15][14]:0.000000  [15][15]:0.000000  [15][16]:0.015822  [15][17]:0.017522  [15][18]:0.024935  [15][19]:0.036323  [15][20]:0.033109  [15][21]:0.029939  [15][22]:0.016459  [15][23]:0.020173  [15][24]:0.008542  [15][25]:0.007933  [15][26]:0.010007  [15][27]:0.015427  [15][28]:0.027539  [15][29]:0.054958  [15][30]:0.029924  [15][31]:0.009284  [15][32]:0.011330  [15][33]:0.012526  [15][34]:0.011641  [15][35]:0.006966  [15][36]:0.010863  [15][37]:0.012952  [15][38]:0.006636  [15][39]:0.009526  [15][40]:0.006206  [15][41]:0.005869  [15][42]:0.025312  [15][43]:0.006135  [15][44]:0.008516  [15][45]:0.013186  [15][46]:0.078687  [15][47]:0.233222  [15][48]:0.000000  
[16][0]:0.002785  [16][1]:0.004882  [16][2]:0.003567  [16][3]:0.015702  [16][4]:0.010594  [16][5]:0.012077  [16][6]:0.003995  [16][7]:0.032628  [16][8]:0.015107  [16][9]:0.035912  [16][10]:0.011618  [16][11]:0.004164  [16][12]:0.009322  [16][13]:0.007697  [16][14]:0.013934  [16][15]:0.003768  [16][16]:0.000000  [16][17]:0.000000  [16][18]:0.000000  [16][19]:0.000000  [16][20]:0.000000  [16][21]:0.000000  [16][22]:0.000000  [16][23]:0.000000  [16][24]:0.024679  [16][25]:0.020939  [16][26]:0.015847  [16][27]:0.008603  [16][28]:0.009332  [16][29]:0.010427  [16][30]:0.011745  [16][31]:0.015704  [16][32]:0.056028  [16][33]:0.046732  [16][34]:0.323871  [16][35]:0.007766  [16][36]:0.009655  [16][37]:0.014823  [16][38]:0.010303  [16][39]:0.016498  [16][40]:0.014673  [16][41]:0.009770  [16][42]:0.011753  [16][43]:0.008143  [16][44]:0.010102  [16][45]:0.015507  [16][46]:0.013888  [16][47]:0.012173  [16][48]:0.000000  
[17][0]:0.002845  [17][1]:0.004272  [17][2]:0.003450  [17][3]:0.013865  [17][4]:0.008008  [17][5]:0.008957  [17][6]:0.003682  [17][7]:0.035941  [17][8]:0.011661  [17][9]:0.032612  [17][10]:0.015207  [17][11]:0.004469  [17][12]:0.012117  [17][13]:0.010755  [17][14]:0.015625  [17][15]:0.004392  [17][16]:0.000000  [17][17]:0.000000  [17][18]:0.000000  [17][19]:0.000000  [17][20]:0.000000  [17][21]:0.000000  [17][22]:0.000000  [17][23]:0.000000  [17][24]:0.014333  [17][25]:0.015380  [17][26]:0.010146  [17][27]:0.008556  [17][28]:0.010219  [17][29]:0.011468  [17][30]:0.012167  [17][31]:0.013945  [17][32]:0.073591  [17][33]:0.012785  [17][34]:0.058953  [17][35]:0.009711  [17][36]:0.010009  [17][37]:0.010551  [17][38]:0.014713  [17][39]:0.025963  [17][40]:0.025287  [17][41]:0.015074  [17][42]:0.010478  [17][43]:0.009746  [17][44]:0.009534  [17][45]:0.020823  [17][46]:0.015105  [17][47]:0.011785  [17][48]:0.000000  
[18][0]:0.003821  [18][1]:0.004799  [18][2]:0.004584  [18][3]:0.011486  [18][4]:0.007413  [18][5]:0.007014  [18][6]:0.004163  [18][7]:0.030211  [18][8]:0.008812  [18][9]:0.023208  [18][10]:0.018211  [18][11]:0.005982  [18][12]:0.016480  [18][13]:0.016219  [18][14]:0.017220  [18][15]:0.006316  [18][16]:0.000000  [18][17]:0.000000  [18][18]:0.000000  [18][19]:0.000000  [18][20]:0.000000  [18][21]:0.000000  [18][22]:0.000000  [18][23]:0.000000  [18][24]:0.009957  [18][25]:0.012074  [18][26]:0.008423  [18][27]:0.010059  [18][28]:0.015040  [18][29]:0.015454  [18][30]:0.013945  [18][31]:0.012101  [18][32]:0.024963  [18][33]:0.009689  [18][34]:0.015382  [18][35]:0.011306  [18][36]:0.010595  [18][37]:0.009124  [18][38]:0.015446  [18][39]:0.020891  [18][40]:0.069140  [18][41]:0.057488  [18][42]:0.009301  [18][43]:0.015189  [18][44]:0.010926  [18][45]:0.024906  [18][46]:0.014896  [18][47]:0.010580  [18][48]:0.000000  
[19][0]:0.008357  [19][1]:0.007889  [19][2]:0.008841  [19][3]:0.012444  [19][4]:0.011583  [19][5]:0.009190  [19][6]:0.008010  [19][7]:0.018001  [19][8]:0.009583  [19][9]:0.016890  [19][10]:0.012068  [19][11]:0.009305  [19][12]:0.015374  [19][13]:0.012299  [19][14]:0.014216  [19][15]:0.009109  [19][16]:0.000000  [19][17]:0.000000  [19][18]:0.000000  [19][19]:0.000000  [19][20]:0.000000  [19][21]:0.000000  [19][22]:0.000000  [19][23]:0.000000  [19][24]:0.010550  [19][25]:0.009817  [19][26]:0.015051  [19][27]:0.051127  [19][28]:0.087991  [19][29]:0.025090  [19][30]:0.014393  [19][31]:0.010622  [19][32]:0.010188  [19][33]:0.010209  [19][34]:0.008655  [19][35]:0.013588  [19][36]:0.015601  [19][37]:0.014845  [19][38]:0.012256  [19][39]:0.011535  [19][40]:0.015363  [19][41]:0.041642  [19][42]:0.015008  [19][43]:0.205196  [19][44]:0.052478  [19][45]:0.010005  [19][46]:0.008267  [19][47]:0.010263  [19][48]:0.000000  
[20][0]:0.005383  [20][1]:0.005770  [20][2]:0.006147  [20][3]:0.011619  [20][4]:0.008151  [20][5]:0.007154  [20][6]:0.005214  [20][7]:0.023770  [20][8]:0.008385  [20][9]:0.018647  [20][10]:0.016597  [20][11]:0.007705  [20][12]:0.018286  [20][13]:0.017388  [20][14]:0.016514  [20][15]:0.008296  [20][16]:0.000000  [20][17]:0.000000  [20][18]:0.000000  [20][19]:0.000000  [20][20]:0.000000  [20][21]:0.000000  [20][22]:0.000000  [20][23]:0.000000  [20][24]:0.009708  [20][25]:0.010296  [20][26]:0.009028  [20][27]:0.015714  [20][28]:0.025678  [20][29]:0.020824  [20][30]:0.015473  [20][31]:0.011731  [20][32]:0.014533  [20][33]:0.008082  [20][34]:0.010092  [20][35]:0.012006  [20][36]:0.011642  [20][37]:0.010347  [20][38]:0.013841  [20][39]:0.015661  [20][40]:0.059152  [20][41]:0.209259  [20][42]:0.009204  [20][43]:0.036966  [20][44]:0.015531  [20][45]:0.016202  [20][46]:0.009572  [20][47]:0.008198  [20][48]:0.000000  
